uf,nome,latitude,longitude,regiao
RO,Rondônia,-10.83,-63.34,Norte
AC,Acre,-8.77,-70.55,Norte
AM,Amazonas,-3.47,-65.1,Norte
RR,Roraima,1.99,-61.33,Norte
PA,Pará,-3.79,-52.48,Norte
AP,Amapá,1.41,-51.77,Norte
TO,Tocantins,-9.46,-48.26,Norte
MA,Maranhão,-5.42,-45.44,Nordeste
PI,Piauí,-6.6,-42.28,Nordeste
CE,Ceará,-5.2,-39.53,Nordeste
RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
PB,Paraíba,-7.28,-36.72,Nordeste
PE,Pernambuco,-8.38,-37.86,Nordeste
AL,Alagoas,-9.62,-36.82,Nordeste
SE,Sergipe,-10.57,-37.45,Nordeste
BA,Bahia,-13.29,-41.71,Nordeste
MG,Minas Gerais,-18.1,-44.38,Sudeste
ES,Espírito Santo,-19.19,-40.34,Sudeste
RJ,Rio de Janeiro,-22.25,-42.66,Sudeste
SP,São Paulo,-22.19,-48.79,Sudeste
PR,Paraná,-24.89,-51.55,Sul
SC,Santa Catarina,-27.45,-50.95,Sul
RS,Rio Grande do Sul,-30.17,-53.5,Sul
MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
MT,Mato Grosso,-12.64,-55.42,Centro-Oeste
GO,Goiás,-15.98,-49.86,Centro-Oeste
DF,Distrito Federal,-15.83,-47.86,Centro-Oeste